title,company,salary,location,url,crawled_at,min_salary_raw,max_salary_raw,currency,min_salary_mil_vnd,max_salary_mil_vnd,avg_salary_mil_vnd
Lập Trình Viên Flutter (Android / IOS) Công Ty Hàn Quốc,,Thỏa thuận,,https://www.topcv.vn/viec-lam/lap-trinh-vien-flutter-android-ios-cong-ty-han-quoc/1780269.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.609315,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.609315,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.609315,,,Negotiable,,,
Nghỉ thứ 7,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-nghi-thu-7,2026-01-30T04:02:01.609315,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.609315,,,Negotiable,,,
Fullstack Developer (PHP),,Thỏa thuận,,https://www.topcv.vn/viec-lam/fullstack-developer-php/1880899.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.614683,,,Negotiable,,,
Software Engineer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-software-engineer-cr257cb258cl271,2026-01-30T04:02:01.614683,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.614683,,,Negotiable,,,
Nghỉ thứ 7,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-nghi-thu-7,2026-01-30T04:02:01.615470,,,Negotiable,,,
Software Engineer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-software-engineer-cr257cb258cl271,2026-01-30T04:02:01.615470,,,Negotiable,,,
